Product name,ASIN,Condition,Total orders,NCX orders,Fulfilled by,SKU,NCX rate,Top NCX reason,NCX Review Rate,NCX Return Rate,Last updated,pcxHealth
"Vive Waterproof Wheelchair Cushion for Pressure Relief (20x16x3) - Washable Cover Incontinence Protection for Elderly Adults & Seniors - Memory Foam Gel Pad for Recliners, Office Chairs, Car","B09CDY2HT4","Used",1,0,"Amazon","X004HK4CB3","0%","--","0%","0%","Dec 23, 2024","Excellent"
"Vive Mobility Scooter Basket (12"" x 8.5"") - Accessory for 3 & 4-Wheel Scooters - Large Front Storage Attachment for Shopping with Carrying Handle for Travel - Easy to Assemble Replacement Part","B086DW899W","Used",1,0,"Amazon","X004HHCYST","0%","--","0%","0%","Jan 11, 2025","Excellent"
"Vive Transfer Board (36"" by 12"") - Patient Slide Assist Device - Transferring from Wheelchair to Bed, Toilet, Car, Bathtub - Heavy Duty Sliding for Elderly, Seniors, Disabled - Transport Platform","B07PHZQR32","Used",1,0,"Amazon","X004H6LGG1","0%","--","0%","0%","Dec 6, 2024","Excellent"
"Vive Mobility Scooter Basket (12"" x 8.5"") - Accessory for 3 & 4-Wheel Scooters - Large Front Storage Attachment for Shopping with Carrying Handle for Travel - Easy to Assemble Replacement Part","B086DW899W","Used",2,0,"Amazon","X004GVZFCX","0%","--","0%","0%","Jan 6, 2025","Excellent"
"Vive Walker Handle Cushions - Padded Hand Covers - Soft Padding Medical Accessories for Folding Rolling Wheelchair, Rollator Handle, Senior, Elderly Grippers - Foam Crutch Pads Grips - Mobility Aid (Blue)","B083F3DL71","Used",1,0,"Amazon","X004GD98MJ","0%","--","0%","0%","Dec 2, 2024","Excellent"
"Vive Chair Stand Assist for Elderly - Portable Standing Up Assistance for Seniors - Self Lift Aid Disabled & Handicap Fall Prevention - Padded Cane Bars Help You Get Up from Couch, Bed, & Floor","B0BPR6KTF5","Used",1,0,"Amazon","X004FW5CDP","0%","--","0%","0%","Jan 7, 2025","Excellent"
"Vive Wooden Walking Stick Cane - for Men, Women, & Seniors - 36 Inch Single Point Rubber Tip with Willow Handle - Ergonomic Grip for Balance & Stability - Lightweight Elderly Assistance Product (Wood)","B0BBH4RPJB","Used",1,0,"Amazon","X004FOJG5X","0%","--","0%","0%","Oct 25, 2024","Excellent"
"Vive Hand Strengthener Grip Ring (4 Pack) - Forearm Ring Hand Exercisers - Silicone Squeezer Gripper for Muscle Strengthening Training Tool - Arthritis Finger Physical Therapy PT Kit Trainer","B0CPYR6HGL","Used",1,0,"Amazon","X004FOH76X","0%","--","0%","0%","Dec 23, 2024","Excellent"
"Vive Resistance Band Set (12 PCS)- Versatile Exercise Tubes with Wide Handles, Workout Poster, & Door Anchor - Adjustable 2-70 LBs Tension for Full Body Home Fitness & Rehab - Great for Men & Women","B071VP9K4W","Used",1,0,"Amazon","X004F2MXAP","0%","--","0%","0%","Oct 30, 2024","Excellent"
"Vive Mobility Scooter Basket (12"" x 8.5"") - Accessory for 3 & 4-Wheel Scooters - Large Front Storage Attachment for Shopping with Carrying Handle for Travel - Easy to Assemble Replacement Part","B086DW899W","Used",1,0,"Amazon","X004ERUIMV","0%","--","0%","0%","Oct 5, 2024","Excellent"
"Vive Fabric Resistance Bands (Set of 3) - Exercise Loop for Women, Men - Non Slip Body Fitness for Glutes, Legs, Butt, Booty, Hips - Home Gym, Training, Physical Therapy - Workout Guide Book Included","B08FBFK8JX","Used",1,0,"Amazon","X004E0SXVV","0%","--","0%","0%","Sep 20, 2024","Excellent"
"Vive Squeeze Balls for Hand Therapy Set (4 Pack) - Grip Strengthener Occupational Exercise Equipment for Arthitis, Parkinsons, Stroke, Carpal Tunnel Recovery - Stress Relief Massage Putty Finger Toy","B099XB47WY","Used",1,0,"Amazon","X004DZV9QN","0%","--","0%","0%","Oct 15, 2024","Excellent"
"Vive Toilet Seat Cushion (Soft Cushioned Foam) - Easy Clean Soft Padded Bathroom Attachment - Elongated, Standard Seats - Comfort and Support Donut for Handicap, Adults (2"" Cushioned Foam, White)","B087NF5N6G","Used",1,0,"Amazon","X004DX9IWR","0%","--","0%","0%","Sep 9, 2024","Excellent"
"Vive Hand Strengthener Grip Ring (4 Pack) - Forearm Ring Hand Exercisers - Silicone Squeezer Gripper for Muscle Strengthening Training Tool - Arthritis Finger Physical Therapy PT Kit Trainer","B0CPYR6HGL","Used",1,0,"Amazon","X004DJV0LD","0%","--","0%","0%","Jan 2, 2025","Excellent"
"Vive Toilet Seat Cushion (Soft Cushioned Foam) - Easy Clean Soft Padded Bathroom Attachment - Elongated, Standard Seats - Comfort and Support Donut for Handicap, Adults (2"" Cushioned Foam, White)","B087NF5N6G","Used",1,0,"Amazon","X004DFALNP","0%","--","0%","0%","Feb 3, 2025","Excellent"
"Vive Toilet Seat Cushion (Soft Cushioned Foam) - Easy Clean Soft Padded Bathroom Attachment - Elongated, Standard Seats - Comfort and Support Donut for Handicap, Adults (2"" Cushioned Foam, White)","B087NF5N6G","Used",2,0,"Amazon","X004DFAFDV","0%","--","0%","0%","Jan 21, 2025","Excellent"
"Vive Toilet Seat Cushion (Soft Cushioned Foam) - Easy Clean Soft Padded Bathroom Attachment - Elongated, Standard Seats - Comfort and Support Donut for Handicap, Adults (2"" Cushioned Foam, Black)","B09T4X2S12","Used",1,0,"Amazon","X004DD205J","0%","--","0%","0%","Aug 30, 2024","Excellent"
"Vive Therapy Putty For Adults, For Hand Therapy (2 Pack) - Occupational Sensory Stress Relief Tools - for Physical Exercise, Finger Pain, Grip Strength, Rehab, Arthritis, Forearms, Fidgeting, Motor Skills","B07KX82WM3","Used",1,0,"Amazon","X004DAYTLZ","0%","--","0%","0%","Oct 22, 2024","Excellent"
"Vive Therapy Putty For Adults, For Hand Therapy (2 Pack) - Occupational Sensory Stress Relief Tools - for Physical Exercise, Finger Pain, Grip Strength, Rehab, Arthritis, Forearms, Fidgeting, Motor Skills","B07KX82WM3","Used",1,0,"Amazon","X004D9MO09","0%","--","0%","0%","Oct 18, 2024","Excellent"
"Vive Mobility Scooter Basket (12"" x 8.5"") - Accessory for 3 & 4-Wheel Scooters - Large Front Storage Attachment for Shopping with Carrying Handle for Travel - Easy to Assemble Replacement Part","B086DW899W","Used",1,0,"Amazon","X004CUOTHF","0%","--","0%","0%","Feb 7, 2025","Excellent"
"Vive Mobility All Terrain Rollator Walker with Seat - Senior Easy Drive Folding Frame, Lightweight, Foldable, with Basket Support - Comfort Handles & Thick Backrest - Mobility Aid Accessories","B0DBKDF8DY","new",19,2,"Amazon","X004C6XBF5","10.53%","Defective item
50%","0%","10.53%","Oct 24, 2024","Poor"
"Vive Toilet Seat Cushion (Soft Cushioned Foam) - Easy Clean Soft Padded Bathroom Attachment - Elongated, Standard Seats - Comfort and Support Donut for Handicap, Adults (2"" Cushioned Foam, Black)","B09T4X2S12","Used",1,0,"Amazon","X004C5SNCR","0%","--","0%","0%","Aug 24, 2024","Excellent"
"Vive Wheelchair Cushion - Gel Seat Pad for Coccyx, Orthopedic Back Support, Sciatica & Tailbone Pain Relief - Waterproof Cover + 4 Layer Foam Support and Comfort - for Pressure Sores and Ulcers","B00GFP92KS","Used",1,0,"Amazon","X004BYU7EL","0%","--","0%","0%","Aug 30, 2024","Excellent"
"Vive Wheelchair Cushion - Gel Seat Pad for Coccyx, Orthopedic Back Support, Sciatica & Tailbone Pain Relief - Waterproof Cover + 4 Layer Foam Support and Comfort - for Pressure Sores and Ulcers","B00GFP92KS","Used",2,0,"Amazon","X004B8A89L","0%","--","0%","0%","Aug 23, 2024","Excellent"
"Vive Medical Compression Stockings - 20-30 mmHg Knee High Socks for Varicose Veins - Support Stockings for Women/Men - Compression For Anti Embolism, Post Surgery, Swelling, Soreness (Black, Beige) (Small, Beige)","B0CPLGYZ2W","New",24,2,"Amazon","X004AI2DJZ","8.33%","Wrong item was sent
100%","0%","8.33%","Feb 14, 2025","Poor"
"Vive Medical Compression Stockings - 20-30 mmHg Knee High Socks for Varicose Veins - Support Stockings for Women/Men - Compression For Anti Embolism, Post Surgery, Swelling, Soreness (Black, Beige) (Large, Black)","B0CPLDWJVK","New",1,0,"Amazon","X004AI0YWD","0%","--","0%","0%","Jan 24, 2025","Excellent"
"Vive Medical Compression Stockings - 20-30 mmHg Knee High Socks for Varicose Veins - Support Stockings for Women/Men - Compression For Anti Embolism, Post Surgery, Swelling, Soreness (Black, Beige) (Medium, Beige)","B0CPL2BB8N","New",1,0,"Amazon","X004AI0WTD","0%","--","0%","0%","Feb 11, 2025","Excellent"
"Vive Medical Compression Stockings - 20-30 mmHg Knee High Socks for Varicose Veins - Support Stockings for Women/Men - Compression For Anti Embolism, Post Surgery, Swelling, Soreness (Black, Beige)","B0CPKYZNB4","New",18,0,"Amazon","X004AHZ59L","0%","--","0%","0%","Nov 19, 2024","Excellent"
"Vive Medical Compression Stockings - 20-30 mmHg Knee High Socks for Varicose Veins - Support Stockings for Women/Men - Compression For Anti Embolism, Post Surgery, Swelling, Soreness (Black, Beige)","B0CPLFSNYY","New",24,1,"Amazon","X004AHYNIZ","4.17%","Too Small
100%","4.17%","4.17%","Nov 15, 2024","Good"
"Vive Medical Compression Stockings - 20-30 mmHg Knee High Socks for Varicose Veins - Support Stockings for Women/Men - Compression For Anti Embolism, Post Surgery, Swelling, Soreness (Black, Beige)","B0CPLF67R2","New",49,3,"Amazon","X004AHVRBV","6.12%","Performance or quality not adequate
66%","0%","6.12%","Oct 15, 2024","Fair"
"Vive Mobility Ultra Lightweight Wheelchair for Adults - Foldable & Collapsible Wheel Chair w/Adjustable Leg Rest & Footrest for Seniors ‌","B0D79SF37R","New",5,1,"Amazon","X004A825Q1","20%","Damaged item
100%","20%","0%","Dec 14, 2024","Very poor"
"Vive Grab Bar for Bathtubs and Showers - Handicap Bathroom Safety Handrail for Elderly - Wall Senior Rail Handle for Tub, Toilet, Bath","B07CLMK6FB","Used",1,0,"Amazon","X0048VGBF1","0%","--","0%","0%","Nov 14, 2024","Excellent"
"Vive Button Assist Tool (10 Pack) - Magnetic Button Helper for Elderly - Assistive Devices for Disability, Arthritis - Shirt Buttoner Hook, Clothing Adaptive Equipment for Seniors & Stroke Assistance","B0D2M5L67J","New",2,0,"Amazon","X0047TZ6LJ","0%","--","0%","0%","Jan 25, 2025","Excellent"
"Vive Wheelchair Cushion - Seat Pad for Coccyx, Orthopedic Back Support, Sciatica & Tailbone Pain Relief - Waterproof Cover for Support and Comfort - for Pressure Sores and Ulcers (16'' x 16'' x 2'')","B0D2M5VQ1R","new",4,1,"Amazon","X0047TWOH3","25%","Performance or quality not adequate
100%","0%","25%","Jan 29, 2025","Very poor"
"Vive Wrist Wraps For Carpal Tunnel - Tunnel Tamer Brace For Left & Right Hand - Wrist Compression Band for Support, Pain Relief, Working Out, Arthritis, Typing & Sports Aid - Hand Protector For Women (2)","B0CXY77VXG","New",30,2,"Amazon","X0046A143X","6.67%","Defective item
50%","0%","6.67%","Feb 14, 2025","Fair"
"Vive Boot Jack for Cowboy Boots - Foldable Shoe Horn Puller for Taking Off Work Boots, Waders & Muck Shoes - Boot Remover","B0CWC5H9QX","New",4,0,"Amazon","X00457AVI1","0%","--","0%","0%","Feb 3, 2025","Excellent"
"ViveSole Silicone Heel Protectors (2 Pairs) - Gel Guard for Women and Men Moisturizing Relief Blister, Cracked Foot, Plantar Fasciitis, Spurs Soft Cushion Support Protective Insert Sleeve","B07LCWK6XK","Used",1,0,"Amazon","X0044P5BG1","0%","--","0%","0%","Aug 30, 2024","Excellent"
"Vive Oval Bathtub Mat - Nonslip Shower Floor Pad - Non-Slip and Non-Skid for Bath Tub with Strong Rubber Suction Cup Grip - for Baby, Elderly, Kids, Bathroom (Black)","B0CLDXDNTQ","New",32,0,"Amazon","X00443IBMJ","0%","--","0%","0%","Feb 13, 2025","Excellent"
"Vive Hand Strengthener Grip Ring (6 Pack) - Forearm Ring Hand Exercisers - Silicone Squeezer Gripper for Muscle Strengthening Training Tool - Arthritis Finger Physical Therapy PT Kit Trainer","B06W2K1PSN","Used",1,0,"Amazon","X00440TTHD","0%","--","0%","0%","Sep 8, 2024","Excellent"
"Vive Mobility Knee Scooter Pad Cover - Soft Plush Adult Sheepskin Memory Foam Cushion, Walker Accessory for Knee Roller, Padded Accessories Leg Cart Improves Comfort with Injury, Universal Fit (Black)","B079Q7FWWF","Used",1,0,"Amazon","X0043OL031","0%","--","0%","0%","Dec 21, 2024","Excellent"
"ViveSole Silicone Heel Protectors (2 Pairs) - Gel Guard for Women and Men - Moisturizing Relief for Blister, Cracked Foot, Plantar Fasciitis, Spurs - Soft Cushion Support - Protective Insert Sleeve","B0B7KJMBVG","Used",1,0,"Amazon","X0043N6ZGJ","0%","--","0%","0%","Sep 2, 2024","Excellent"
"Vive Wooden Walking Stick for Hiking - Handcrafted, Waterproof with Leather Wrist Strap - Wood Staff for Balance, Women, Men, Seniors - Non-Slip Tip for Safety & Support","B092KQ6MDX","Used",1,0,"Amazon","X0042B3KK1","0%","--","0%","0%","Aug 23, 2024","Excellent"
"Vive Toilet Seat Cushion (Soft Cushioned Foam) - Easy Clean Soft Padded Bathroom Attachment - Elongated, Standard Seats - Comfort and Support Donut for Handicap, Adults (2"" Cushioned Foam, White)","B087NF5N6G","Used",1,0,"Amazon","X0040UBHM7","0%","--","0%","0%","Jan 4, 2025","Excellent"
"Vive Absorbent Commode Pads for Bedside Toilet Seat Chair Bucket (100 Pack) - Disposable Liners for Potty, Portable Bowl, Bedpans - for Women, Seniors, Caregivers, Medical - Universal Size (100 Pack)","B0CL7YZ8V6","New",2,0,"Amazon","X00409L2EL","0%","--","0%","0%","Jan 31, 2025","Excellent"
"Vive Absorbent Commode Pads for Bedside Toilet Seat Chair Bucket (48 Pack) - Disposable Liners for Potty, Portable Bowl, Bedpans - for Women, Seniors, Caregivers, Medical - Universal Size (48 Pack)","B0CL7YGB5N","New",2,0,"Amazon","X00409FJGD","0%","--","0%","0%","Jan 22, 2025","Excellent"
"Vive Bedpan Liners for Men and Women with 72 Disposable Absorbent Pads - HSA/FSA Eligible Bed Pan for Elderly Females & Men - Value Pack 72 Count Universal Fit - Neutralize and Reduces Odor (72 Pack)","B0CL7ZSP5T","New",6,0,"Amazon","X00409ALW5","0%","--","0%","0%","Feb 8, 2025","Excellent"
"Vive Bedpan Liners for Men and Women with 48 Disposable Absorbent Pads - HSA/FSA Eligible Bed Pan for Elderly Females & Men - Value Pack 48 Count Universal Fit - Neutralize and Reduces Odor (48 Pack)","B0CL7ZQ9GW","New",15,2,"Amazon","X00409ALBB","13.33%","Wrong item was sent
50%","0%","13.33%","Feb 12, 2025","Very poor"
"Vive Premium Hand Grips & Crutch Pads - Comfortable, Breathable, Machine Washable Padding - Moisture Wicking & Odor Reducing Pillow Accessory Covers for Adult & Youth Walking Crutches","B0CL5TDYTK","New",308,17,"Amazon","X00407TG7N","5.52%","Performance or quality not adequate
82%","0%","5.19%","Feb 13, 2025","Fair"
"Vive Neck Brace Cervical Collar - Soft Foam for Neck Pain, Sleeping, Support for Women & Men - Universal Size Orthopedic Collar for Stiff & Pinched Nerve - Adjustable Wrap, Chin Contour (2.5"")","B0CKWGWHRS","New",141,15,"Amazon","X003ZW1H8Z","10.64%","Performance or quality not adequate
53%","0%","10.64%","Feb 14, 2025","Very poor"
"Vive Neck Brace Cervical Collar - Soft Foam for Neck Pain, Sleeping, Support for Women & Men - Universal Size Orthopedic Collar for Stiff & Pinched Nerve - Adjustable Wrap, Chin Contour (3.5"")","B0CKWF9V9Z","New",51,11,"Amazon","X003ZVV9W5","21.57%","Performance or quality not adequate
72%","0%","21.57%","Feb 13, 2025","Very poor"
"Vive Neck Brace Cervical Collar - Soft Foam for Neck Pain, Sleeping, Support for Women & Men - Universal Size Orthopedic Collar for Stiff & Pinched Nerve - Adjustable Wrap, Chin Contour (3.0"")","B0CKWCT8JP","New",85,10,"Amazon","X003ZVV9GB","11.76%","Performance or quality not adequate
80%","0%","11.76%","Feb 14, 2025","Very poor"
"Vive Loofah Sponge Replacement (4 Pk) Shower & Bath Pouf Scrubber for Back & Body Exfoliation, Works with Vive Interchangeable Loofa Handle Long Brush (Replacement Sponge Black and Blue (4 Pack), 4)","B0BKMKPNWP","New",7,0,"Amazon","X003ZFJG67","0%","--","0%","0%","Feb 8, 2025","Excellent"
"Vive Squeeze Balls for Hand Therapy Set (4 Pack) - Grip Strengthener Occupational Exercise Equipment for Arthitis, Parkinsons, Stroke, Carpal Tunnel Recovery - Stress Relief Massage Putty Finger Toy","B099XB47WY","Used",1,0,"Amazon","X003ZCXXOL","0%","--","0%","0%","Jan 24, 2025","Excellent"
"Vive Wheelchair Cushion - Gel Seat Pad for Coccyx, Orthopedic Back Support, Sciatica & Tailbone Pain Relief - Waterproof Cover + 4 Layer Foam Support and Comfort - for Pressure Sores and Ulcers","B01L28ANI2","Used",1,0,"Amazon","X003ZCIFR1","0%","--","0%","0%","Aug 15, 2024","Excellent"
"Vive Squeeze Balls for Hand Therapy Set (4 Pack) - Grip Strengthener Occupational Exercise Equipment for Arthitis, Parkinsons, Stroke, Carpal Tunnel Recovery - Stress Relief Massage Putty Finger Toy","B099XB47WY","Used",1,0,"Amazon","X003Z9C1S3","0%","--","0%","0%","Dec 11, 2024","Excellent"
"Vive Grab Bar with Toilet Paper Holder (350lbs) - Handrail Bar Combo for Bathroom Wall - Safety Support for Elderly, Seniors & Disabled - Handicap Assist for Restroom Walls & Getting up from Toilets","B0CJL4FWK7","New",10,1,"Amazon","X003Z5GZNJ","10%","Performance or quality not adequate
100%","0%","10%","Feb 14, 2025","Fair"
"Vive Grab Bar with Toilet Paper Holder (350lbs) - Handrail Bar Combo for Bathroom Wall - Safety Support for Elderly, Seniors & Disabled - Handicap Assist for Restroom Walls & Getting up from Toilets","B0CJLTWZZM","New",7,0,"Amazon","X003Z4PORX","0%","--","0%","0%","Feb 9, 2025","Excellent"
"Vive 4 Prong Stand Assist Quad Cane - Walker Canes for Women & Men for Stability - 4 Leg Walking Cane for Seniors Balance - 4 Point Stand up Cane - Heavy Duty Sit to Stand Cane - Adjustable (Teal)","B0CHXTKGGQ","New",79,7,"Amazon","X003YQZ8HN","8.86%","Performance or quality not adequate
85%","0%","8.86%","Feb 14, 2025","Fair"
"Vive Transfer Sling for Elderly & Disabled - Patient Transfer Lift Assist Device for Wheelchair - Transfer Board Alternative for Stairs, Chairs & Cars - Portable Stair Lift for Seniors & Adults","B0CHXLR9B8","New",4,0,"Amazon","X003YQXRD5","0%","--","0%","0%","Feb 6, 2025","Excellent"
"Vive 4 Prong Stand Assist Quad Cane - Walker Canes for Women & Men for Stability - 4 Leg Walking Cane for Seniors Balance - 4 Point Stand up Cane - Heavy Duty Sit to Stand Cane - Adjustable (Black)","B0CHXGWVNV","New",60,4,"Amazon","X003YQXMB7","6.67%","Performance or quality not adequate
100%","0%","6.67%","Feb 14, 2025","Fair"
"Vive Cast Toe Cover - Soft Sock Protector for Casted Foot - Broken Leg Accessories for Women, Men, Adults - Non Slip Bottom, Adjustable, Water Resistant Outer Material, Machine Washable","B0CHXM6XPT","New",14,0,"Amazon","X003YQOTAP","0%","--","0%","0%","Feb 13, 2025","Excellent"
"Vive Resting Hand Splint - Stroke Recovery Support Brace for Straightening Fingers - Right & Left Wrist Night Immobilizer - Patient Rehabilitation Tools Tendonitis, Arthritis, Carpal Tunnel Relief","B0CH499GR2","New",61,7,"Amazon","X003YAO0LJ","11.48%","Performance or quality not adequate
57%","0%","11.48%","Feb 14, 2025","Good"
"ViveSole U-Shaped Callus Cushions for Feet (Pack of 24) - Corn Pads for Bottom of Foot, Pain Relief, Blisters - Self-Stick Adhesive Felt Padding - Horseshoe Pad Protects Calluses from Rubbing on Shoes","B0CGYCSGBJ","New",76,2,"Amazon","X003Y6LE99","2.63%","Defective item
100%","0%","2.63%","Feb 14, 2025","Good"
"Vive Cane Handle Cover - Cushion Grip, Hand Pain Relief for Elderly & Seniors - Foam Pad for Walking Stick - Comfort, Soft & Non-Slip Wrap Around Support Padding - Universal Fit for Most Canes (Black)","B0CGTP5CPZ","New",85,1,"Amazon","X003Y3B9J7","1.18%","Performance or quality not adequate
100%","0%","1.18%","Oct 29, 2024","Excellent"
"Vive Wrist Wraps For Carpal Tunnel - Tunnel Tamer Brace For Left & Right Hand - Wrist Compression Band for Support, Pain Relief, Working Out, Arthritis, Typing & Sports Aid - Hand Protector For Women","B0CFZTMGYB","New",1,0,"Amazon","X003XNX3X3","0%","--","0%","0%","Feb 7, 2025","Excellent"
"Arctic Flex Ice Pack for Back - Reusable Hot & Cold Gel Wrap for Injury Pain Relief - Cooling Therapy for Lower Lumbar, Sciatica & Stiffness - Flexible Pad w/Compression for Tailbone & Pelvic Support","B0CG12SMG9","New",8,0,"Amazon","X003XNTNN7","0%","--","0%","0%","Feb 14, 2025","Excellent"
"Vive Walking Cane with Swivel - Folding Cane with Offset Design for Women, Men, Seniors, Elderly, Adults - Supports 250lbs, Quad, Foldable, Adjustable, Lightweight, Slip Resistant Living Aid","B0CFZCHRHY","New",1,0,"Amazon","X003XNTLSJ","0%","--","0%","0%","Feb 12, 2025","Excellent"
"Vive Plate Guard (2 Pack) - Adaptive Equipment No Spill Guards for Eating - One Handed Assistance for Plates, Daily Living Aid for Elderly, Disabled & Parkinsons - Handicap Kitchen Accessories","B0CG115LDV","New",3,0,"Amazon","X003XNT3LT","0%","--","0%","0%","Jan 18, 2025","Good"
"Vive Under Desk Bike - Magnetic Pedal Exerciser - Indoor Cycling Bike Stationary - Arm Leg Seated Deskcycle Bike Exercise Equipment for Home and Office (Premium)","B0CFXHVYPH","New",8,0,"Amazon","X003XM0NPZ","0%","--","0%","0%","Feb 11, 2025","Excellent"
"Vive Walker Tray for Folding Walker - (w/Cup Holder) - Adult Mobility Accessories - Fits Standard Walkers - Medical Table for Seniors Non Slip Mat for Food - Removable & Easy Assembly (Black)","B0CFHYBYSW","New",29,1,"Amazon","X003XF955V","3.45%","Performance or quality not adequate
100%","0%","3.45%","Feb 12, 2025","Good"
"Vive Walker Tray for Folding Walker - (w/Pockets & Cup Holder) - Adult Mobility Accessories - Fits Standard Walkers - Medical Table for Seniors Non Slip Mat (Standard)","B0CFHWNMX5","New",32,3,"Amazon","X003XF8TNZ","9.38%","Performance or quality not adequate
66%","0%","9.38%","Feb 13, 2025","Good"
"Vive Grab Bar with Toilet Paper Holder (350lbs) - Handrail Bar Combo for Bathroom Wall - Safety Support for Elderly, Seniors & Disabled - Handicap Assist for Restroom Walls & Getting up from Toilets","B0CFHYF8KJ","new",15,1,"Amazon","X003XEZ475","6.67%","Too Large
100%","0%","6.67%","Feb 7, 2025","Good"
"Vive Shoulder Pulley for Physical Therapy - Rotator Cuff Pain Pulley System - Over Door Rehab Exerciser - With Durable Metal Pulley & Comfortable Padded Handles (FSA/HSA Approved)","B071149H43","Used",1,0,"Amazon","X003XEV0OB","0%","--","0%","0%","Oct 19, 2024","Excellent"
"Vive Arm Protectors for Thin Skin and Bruising - 2 Pairs of Protective Sleeves Against Scratches for Elderly Men and Women","B0CFDQRCGH","New",11,0,"Amazon","X003XD8LAX","0%","--","0%","0%","Feb 11, 2025","Excellent"
"Vive Arm Protectors for Thin Skin and Bruising - 2 Pairs of Protective Sleeves Against Scratches for Elderly Men and Women","B0CFDRVTQN","New",26,0,"Amazon","X003XCZKRL","0%","--","0%","0%","Feb 13, 2025","Excellent"
"Vive Arm Protectors for Thin Skin and Bruising - 2 Pairs of Protective Sleeves Against Scratches for Elderly Men and Women","B0CFDQF4PC","New",13,0,"Amazon","X003XCZKQ7","0%","--","0%","0%","Feb 14, 2025","Excellent"
"Vive Arm Protectors for Thin Skin and Bruising - 2 Pairs of Protective Sleeves Against Scratches for Elderly Men and Women","B0CFDPZ7CQ","New",14,0,"Amazon","X003XCWI67","0%","--","0%","0%","Feb 11, 2025","Excellent"
"Vive Shoulder Pulley for Physical Therapy - Rotator Cuff Pain Pulley System - Over Door Rehab Exerciser - With Durable Metal Pulley & Comfortable Padded Handles (FSA/HSA Approved)","B071149H43","Used",1,0,"Amazon","X003X9XPTT","0%","--","0%","0%","Nov 25, 2024","Excellent"
"Sures Washable, Waterproof Bed Pad & Mattress Protector for Incontinence (34"" x 52"" - 2 Pack) - Reusable Bed Pad for Adults & Elderly - Bed Wetting Protection Mattress Pad - Underpad Bedwetting Sheet","B07GS8Q5KK","Used",1,0,"Amazon","X003X6A5WH","0%","--","0%","0%","Jan 14, 2025","Excellent"
